date,country,clicks,impressions,ctr,position
2026-07-11,cze,0,1,0,69
2026-07-11,deu,0,7,0,16.857142857142858
2026-07-11,egy,0,5,0,36
2026-07-11,grc,0,1,0,69
2026-07-11,hkg,0,1,0,78
2026-07-11,idn,0,2,0,29.5
2026-07-11,ind,0,8,0,75.5
2026-07-11,ita,0,1,0,16
2026-07-11,mar,0,2,0,37
2026-07-11,mex,0,1,0,49
2026-07-11,mys,0,4,0,42.25
2026-07-11,nam,0,1,0,8
2026-07-11,nga,0,1,0,9
2026-07-11,nld,0,19,0,50.473684210526315
2026-07-11,nor,0,2,0,70.5
2026-07-11,npl,0,1,0,8
2026-07-11,nzl,0,1,0,73
2026-07-11,pak,0,4,0,42.5
2026-07-11,phl,0,9,0,56.111111111111114
2026-07-11,rus,0,1,0,10
2026-07-11,sau,0,1,0,71
2026-07-11,sgp,0,1,0,75
2026-07-11,swe,0,1,0,67
2026-07-11,tha,0,2,0,68
2026-07-11,tur,0,2,0,43.5
2026-07-11,usa,0,93,0,32.70967741935484
2026-07-11,uzb,0,1,0,32
2026-07-11,vir,0,1,0,10
2026-07-11,vnm,0,3,0,39.333333333333336
2026-07-11,zaf,0,2,0,77.5
2026-07-12,aus,0,2,0,9
2026-07-12,bgd,0,1,0,76
2026-07-12,bhr,0,1,0,67
2026-07-12,bra,0,4,0,35.25
2026-07-12,can,0,7,0,67.57142857142857
2026-07-12,che,0,2,0,37.5
2026-07-12,chl,0,1,0,43
2026-07-12,col,0,1,0,32
2026-07-12,cze,0,1,0,73
2026-07-12,deu,0,7,0,26.285714285714285
2026-07-12,dnk,0,1,0,67
2026-07-12,dza,0,3,0,58.666666666666664
2026-07-12,egy,0,1,0,72
2026-07-12,esp,0,1,0,6
2026-07-12,est,0,1,0,66
2026-07-12,fra,0,45,0,8.644444444444446
2026-07-12,gbr,0,4,0,8
2026-07-12,hkg,0,5,0,31.8
2026-07-12,hun,0,1,0,73
2026-07-12,idn,0,3,0,60
2026-07-12,ind,0,11,0,66.81818181818181
2026-07-12,irq,0,1,0,42
2026-07-12,isr,0,1,0,36
2026-07-12,ita,0,1,0,7
2026-07-12,jor,0,1,0,44
2026-07-12,kor,0,1,0,64
2026-07-12,mar,0,2,0,36
2026-07-12,mex,0,6,0,35.833333333333336
2026-07-12,mys,0,6,0,71.66666666666667
2026-07-12,ncl,0,1,0,9
2026-07-12,nld,0,5,0,14.4
2026-07-12,omn,0,1,0,43
2026-07-12,pak,0,1,0,11
2026-07-12,phl,0,8,0,58.625
2026-07-12,pol,0,1,0,76
2026-07-12,rus,0,1,0,33
2026-07-12,sgp,0,1,0,84
2026-07-12,swe,0,1,0,57
2026-07-12,tur,0,2,0,67.5
2026-07-12,usa,0,77,0,39.16883116883117
2026-07-12,vnm,0,4,0,32.25
2026-07-13,alb,0,2,0,75.5
2026-07-13,are,0,1,0,10
2026-07-13,arg,0,2,0,40.5
2026-07-13,aus,0,6,0,44
2026-07-13,bgd,0,4,0,59.5
2026-07-13,blr,0,1,0,31
2026-07-13,bol,0,1,0,38
2026-07-13,can,0,3,0,46.333333333333336
2026-07-13,chl,0,1,0,11
2026-07-13,cod,0,1,0,9
2026-07-13,col,0,1,0,61
2026-07-13,deu,0,1,0,61
2026-07-13,ecu,0,1,0,42
2026-07-13,gha,0,3,0,6
2026-07-13,hkg,0,1,0,8
2026-07-13,ind,0,12,0,63.583333333333336
2026-07-13,irq,0,1,0,10
2026-07-13,ita,0,1,0,9
2026-07-13,khm,0,1,0,38
2026-07-13,mar,0,1,0,63
